Date,Hour,Dealers,SKU,SRP,Promotion Price,Change,Sold,Rate,Vendor,Series Group,Segment,CPU Segment,CPU,RAM,SSD,Screen,GPU,V-RAM,Weight,Products link,Part #,Focus Model,Status
26/07/2026,17:48,FPT Retail,Laptop Acer Swift Go 14 AI OLED SFG14-73-75YM Ultra7 155H,28990000,27990000,,,,Acer,Business& Productivity,Swift,Core Ultra 7,Core Ultra 7 155H,16 GB,SSD 512 GB,14 inch,Intel Arc Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-go-14-ai-oled-sfg14-73-75ym-u7-155h,SFG14-73-75YM,No,
26/07/2026,17:48,FPT Retail,Laptop Lenovo Gaming LOQ E 15IRX11 i5 13450HX (83SC003RVN),39990000,38990000,,,,Lenovo,Gaming,LOQ,Core i5,Core i5 13450HX,16 GB (1 thanh 16 GB) DDR5,SSD 512 GB,"15.6 inch, 1920 x 1080 Pixels, 144 HzHz, 100% sRGB",RTX 5050,8G,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-loq-e-15irx11-i5-13450hx-83sc003rvn,83SC003RVN,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Gaming Nitro ProPanel ANV15-41-R9M1 R5 7535HS,27990000,24990000,,,,Acer,Gaming,Nitro ProPanel,Ryzen 5,Ryzen 5 7535HS,16 GB (1 thanh 16 GB),SSD 512 GB,15.6 inch,RTX 4050,6G,,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-nitro-v-15-propanel-anv15-41-r9m1-r5-7535hs,ANV15-41-R9M1,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook X1404VA-EB509W i3-1315U,18990000,14990000,,,,Asus,Business& Productivity,Vivobook,Core i3,Core i3 1315U,8 GB,SSD 512 GB,14 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1404va-eb509w-i3-1315u,X1404VA-EB509W,No,
26/07/2026,17:48,FPT Retail,Laptop Gigabyte Gaming A16 CVHI3VN893SH i7 13620H,38990000,37990000,,,,Gigabyte,Gaming,Gaming A16,Core i7,Core i7 13620H,16 GB (1 thanh 16 GB),SSD 512 GB,16 inch,RTX 5060,8G,,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-a16-cvhi3vn893sh-i7-13620h,CVHI3VN893S,No,
26/07/2026,17:48,FPT Retail,Laptop MSI Gaming Cyborg 15 B13WEKG-676VN i5 13420H,34490000,33990000,,,,MSI,Gaming,Cyborg,Core i5,Core i5 13420H,16 GB,SSD 512 GB,15.6 inch,RTX 5050,8G,,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-cyborg-15-b13wekg-676vn-i5-13420h,676VN,No,
26/07/2026,17:48,FPT Retail,Laptop Asus TUF Gaming F16 FX607VU-RL045W Core 5 210H,29490000,28490000,,,,Asus,Gaming,TUF,Core 5,Core 5 210H,16 GB (1 thanh 16 GB) DDR5,SSD 512 GB,"16 inch, 1920 x 1200 Pixels, 144 HzHz, 45% NTSC",RTX 4050,6G,,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-f16-fx607vu-rl045w-core-5-210h,FX607VU-RL045W,No,
26/07/2026,17:48,FPT Retail,Laptop Lenovo IdeaPad Slim 3 14IPH11 U7 355 (83UQ003PVN),31590000,30090000,,,,Lenovo,Business& Productivity,IdeaPad Slim 3,Core Ultra 7,Core Ultra 7 355,16 GB (1 thanh 16 GB) DDR5,SSD 512 GB,"14 inch, 1920 x 1200 Pixels, 0 Hãng không công bốHz, 45% NTSC",Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-14iph11-u7-355-83uq003pvn,83UQ003PVN,No,
26/07/2026,17:48,FPT Retail,Laptop HP OmniBook 5 16-ag1066AU Ryzen Al 7 350 (BZ7S9PA),31190000,29490000,,,,HP,Business& Productivity,OmniBook,Ryzen 7 AI,Ryzen AI 7 350,16 GB LPDDR5,SSD 512,"16 inch, 1920 x 1200 Pixels, 0 Hãng không công bốHz",AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-omnibook-5-16-ag1066au-ryzen-al-7-350-bz7s9pa,BZ7S9PA,No,
26/07/2026,17:48,FPT Retail,Laptop Dell 15 DC15250 i7 1355U (CPH991),26990000,25990000,,,,Dell,Business& Productivity,Dell 15,Core i7,Core i7 1355U,16 GB (1 thanh 16 GB),1GB SSD,15.6 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/dell-15-dc15250-i7-1355u-cph991,CPH991,No,
26/07/2026,17:48,FPT Retail,Laptop Colorful Rimbook L1 i5- 13420H/A10205500051,20990000,18490000,,,,Other,Business& Productivity,Rimbook L1,Core i5,Core i5 13420H,16 GB (1 thanh 16 GB) DDR4,SSD 512,"15.6 inch, 1920 x 1080 Pixels, 60 HzHz, 45% NTSC",,,,https://fptshop.com.vn/may-tinh-xach-tay/colorful-rimbook-l1-i5-13420h-a10205500051,,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Gaming Nitro ProPanel ANV15-52-59AA i5 13420H,34990000,30590000,,,,Acer,Gaming,Nitro ProPanel,Core i5,Core i5 13420H,16 GB (1 thanh 16 GB) DDR4,SSD 512 GB,"15.6 inch, 1920 x 1080 Pixels, 180 HzHz, 100% sRGB",RTX 5050,8G,,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-nitro-v-15-propanel-anv15-52-59aa-i5-13420h,ANV15-52-59AA,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook S14 S3407AA-SF032W Ultra 7-355,40490000,31290000,,,,Asus,Business& Productivity,Vivobook,Core Ultra 7,Core Ultra 7 355,,,,Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s14-s3407aa-sf032w-ultra-7-355,S3407AA-SF032W,No,
26/07/2026,17:48,FPT Retail,Laptop Asus ExpertBook P1403CVA-C5H16-63WS Core 5 210H,26990000,24290000,,,,Asus,Business& Productivity,ExpertBook,Core 5,Core 5 210H,16 GB DDR5,SSD 512 GB,"14 inch, 1920 x 1080 Pixels, 60Hz, 45% NTSC",Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-expertbook-p1403cva-c5h16-63ws-core-5-210h,P1403CVA-C5H16,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Gaming Aspire 7 A715-59G-78WG i7-13620H,27990000,25990000,,,,Acer,Gaming,Gaming Aspire,Core i7,Core i7 13620H,16 GB (1 thanh 16 GB) DDR4,SSD 512 GB,"15.6 inch, 1920 x 1080 Pixels, 144Hz, 45% NTSC",RTX 3050,6G,,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-aspire-7-a715-59g-78wg-i7-13620h,A715-59G-78WG,No,
26/07/2026,17:48,FPT Retail,MacBook Air 13 M5 2026 10CPU/10GPU/24GB/512GB/70W,41490000,40990000,,,,MacBook,Business& Productivity,MacBook Air,,M5 10,24 GB (1 thanh 24 GB) Hãng không công bố,SSD 512,"13.6 inch, 2560 x 1644 Pixels, 60 HzHz",,,,https://fptshop.com.vn/may-tinh-xach-tay/macbook-air-13-m5-2026-10cpu-10gpu-24gb-512gb-70w,,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Zenbook 14 UM3406GA-QD073WS Ryzen AI 7 445,39990000,35690000,,,,Asus,Business& Productivity,Zenbook,Ryzen 7 AI,Ryzen AI 7 445,32 GB DDR5,SSD 1,"14 inch, 1920 x 1200 Pixels, 60Hz, 100% DCI-P3 color gamut",AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-14-um3406ga-qd073ws-ryzen-ai-7-445,UM3406GA-QD073WS,No,
26/07/2026,17:48,FPT Retail,Laptop HP Gaming Victus 15-fb3116AX R7-7445HS (BX8U4PA),29490000,25490000,,,,HP,Gaming,VICTUS,Ryzen 7,Ryzen 7 7445HS,16 GB LPDDR5,SSD 512,"15.6 inch, 1920 x 1080 Pixels, 144 HzHz",RTX 3050,6G,,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-victus-15-fb3116ax-r7-7445hs-bx8u4pa,BX8U4PA,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Zenbook 14 UM3406GA-QD075WS Ryzen AI 7 445,32990000,29490000,,,,Asus,Business& Productivity,Zenbook,Ryzen 7 AI,Ryzen AI 7 445,,,,AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-14-um3406ga-qd075ws-ryzen-ai-7-445,UM3406GA-QD075WS,No,
26/07/2026,17:48,FPT Retail,Laptop Dell 15 DC15250 i5 1334U (884116652434 - NK),18990000,17490000,,,,Dell,Business& Productivity,Dell 15,Core i5,Core i5 1334U,8 GB DDR5,SSD 512,"15.6 inch, 1920 x 1080 Pixels, 60Hz",Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/dell-15-dc15250-i5-1334u-884116652434-nk,884116652434,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook Go 14 E1404FA-EB935W R5-40,28490000,18890000,,,,Asus,Business& Productivity,Vivobook,Ryzen 5,Ryzen 5 40,16 GB LPDDR5,SSD 512,"14 inch, 1920 x 1080 Pixels, 60 HzHz, 45% NTSC color gamut",AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-go-14-e1404fa-eb935w-r5-40,E1404FA-EB935W,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Aspire Go 15 AI AG15-52P-52WT Ultra5 115U,24990000,21690000,,,,Acer,Business& Productivity,Aspire Go,Core Ultra 5,Core Ultra 5 115U,16 GB,SSD 512 GB,15.6 inch,Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-go-15-ai-ag15-52p-52wt,AG15-52P-52WT,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Aspire Lite 14 AI AL14-53P-5387 Ultra5 115U,24990000,22490000,,,,Acer,Business& Productivity,Aspire Lite,Core Ultra 5,Core Ultra 5 115U,16 GB,SSD 512 GB,14 inch,Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-lite-14-ai-al14-53p-5387,AL14-53P-5387,No,
26/07/2026,17:48,FPT Retail,Laptop Dell 15 DC15250 i5-1334U (884116430315),17990000,16490000,,,,Dell,Business& Productivity,Dell 15,Core i5,Core i5 1334U,8 GB,SSD 512 GB,15.6 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/dell-15-dc15250-i5-1334u-884116430315,884116430315,No,
26/07/2026,17:48,FPT Retail,Laptop Colorful Rimbook L1 i5-12450H (CE50016512C-G-E1AC),19990000,16990000,,,,Other,Business& Productivity,Rimbook L1,Core i5,Core i5 12450H,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/colorful-rimbook-l1-i5-12450h-ce50016512c-g-e1ac,CE50016512C-G-E1AC,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook Go 15 E1504FA-BQ4821W R5 40,22990000,16990000,,,,Asus,Business& Productivity,Vivobook,Ryzen 5,Ryzen 5 40,8 GB DDR5,SSD 512 GB,"15.6 inch, 1920 x 1080 Pixels, 60Hz, 45% NTSC color gamut",AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-go-15-e1504fa-bq4821w-r5-40,E1504FA-BQ4821W,No,
26/07/2026,17:48,FPT Retail,Laptop HP OmniBook 5 AI 16-af1054TU Ultra 7-255U (C1MN8PA),33990000,31490000,,,,HP,Business& Productivity,OmniBook,Core Ultra 7,Core Ultra 7 255U,32 GB (2 thanh 16 GB) LPDDR5,SSD 512 GB,"16 inch, 1920 x 1200 Pixels, 0 Hãng không công bốHz, 62.5% SRGB",Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-omnibook-5-ai-16-af1054tu-ultra-7-255u-c1mn8pa,C1MN8PA,No,
26/07/2026,17:48,FPT Retail,Laptop HP 240R G9 i3-1315U (AX3C6AT),16990000,14490000,,,,HP,Business& Productivity,HP 240,Core i3,Core i3 1315U,8 GB (1 thanh 8 GB),SSD 512 GB,14 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-240r-g9-i3-1315u-ax3c6at,AX3C6AT,No,
26/07/2026,17:48,FPT Retail,Laptop HP OmniBook 5 Flip X360 14-fp0057TU Core 5-120U (BZ7Q6PA),27990000,25490000,,,,HP,Business& Productivity,OmniBook,Core 5,Core 5 120U,16 GB (2 thanh 8 GB),SSD 512 GB,14 inch,Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-omnibook-5-flip-x360-14-fp0057tu-core-5-120u-bz7q6pa,BZ7Q6PA,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Gaming Nitro ProPanel ANV15-41-R7CR R5 7535HS,29990000,27490000,,,,Acer,Gaming,Nitro ProPanel,Ryzen 5,Ryzen 5 7735HS,16 GB (1 thanh 16 GB),SSD 512 GB,15.6 inch,RTX 4050,6G,,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-nitro-v-15-propanel-anv15-41-r7cr-r5-7535hs,ANV15-41-R7CR,No,
26/07/2026,17:48,FPT Retail,Laptop Asus TUF Gaming A15 FA506NCG-HN329W R7 8845HS,37490000,28690000,,,,Asus,Gaming,TUF,Ryzen 7,Ryzen 7 8845HS,16 GB,SSD 512 GB,15.6 inch,RTX 3050,4G,,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-a15-fa506ncg-hn329w-r7-8845hs,FA506NCG-HN329W,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook M1405NAQ-LY010W R5 150,18990000,18490000,,,,Asus,Business& Productivity,Vivobook,Ryzen 5,Ryzen 5 150,16 GB (2 thanh 8 GB),SSD 512 GB,14 inch,AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1405naq-ly010w-r5-150,M1405NAQ-LY010W,No,
26/07/2026,17:48,FPT Retail,Laptop Dell 14 DC14250 Core 5 120U (DC4C5375W1),32390000,31390000,,,,Dell,Business& Productivity,Dell 14,Core 5,Core 5 120U,16 GB (1 thanh 16 GB) DDR5,SSD 512,"14 inch, 1920 x 1200 Pixels, 60Hz, 45% NTSC",,,,https://fptshop.com.vn/may-tinh-xach-tay/dell-14-dc14250-core-5-120u-dc4c5375w1,,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Gaming Nitro ProPanel ANV15-52-59RR Core 5 210H,35990000,32990000,,,,Acer,Gaming,Nitro ProPanel,Core i5,Core i5 210H,16 GB (1 thanh 16 GB),SSD 512 GB,15.6 inch,RTX 5050,8G,,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-nitro-v-15-propanel-anv15-52-59rr-core-5-210h,ANV15-52-59RR,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Gaming Aspire 7 A715-59G-59RD Core 5 210H,28990000,25990000,,,,Acer,Gaming,Gaming Aspire,Core 5,Core 5 210H,,,,,,,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-aspire-7-a715-59g-59rd-core-5-210h,A715-59G-59RD,No,
26/07/2026,17:48,FPT Retail,Laptop Lenovo Gaming LOQ Essential 15ARP10E Ryzen 7 170 (83S000DCVN),30990000,29590000,,,,Lenovo,Gaming,LOQ,Ryzen 7,Ryzen 7 170,16 GB (1 thanh 16 GB),1GB SSD,15.6 inch,RTX 3050,6G,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15arp10e-ryzen-7-170-83s000dcvn,83S000DCVN,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Gaming Nitro ProPanel ANV15-41-R0Y4 R7 7735HS,32990000,29990000,,,,Acer,Gaming,Nitro ProPanel,Ryzen 7,Ryzen 7 7735HS,16 GB (1 thanh 16 GB),SSD 512 GB,15.6 inch,RTX 4050,6G,,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-nitro-v-15-propanel-anv15-41-r0y4-r7-7735hs,ANV15-41-R0Y4,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook S16 M3607GA-SH034W Ryzen AI 7 445,30990000,27690000,,,,Asus,Business& Productivity,Vivobook,Ryzen 7 AI,Ryzen AI 7 445,16 GB,SSD 512 GB,16 inch,AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s16-m3607ga-sh034w-ryzen-ai-7-445,M3607GA-SH034W,No,
26/07/2026,17:48,FPT Retail,Laptop Dell 15 DC15250 i5 1334U (71100514),30590000,30090000,,,,Dell,Business& Productivity,Dell 15,Core i5,i5 1334U,,,,Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/dell-15-dc15250-i5-1334u-71100514,,No,
26/07/2026,17:48,FPT Retail,Laptop HP 14-ep1200TU Ultra 7 155H (D0BG9PA),29590000,25990000,,,,HP,Business& Productivity,HP 14,Core Ultra 7,Core Ultra 7 155H,24 GB (1 thanh 24 GB),SSD 512 GB,14 inch,Intel Arc Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-14-ep1200tu-ultra-7-155h-d0bg9pa,D0BG9PA,No,
26/07/2026,17:48,FPT Retail,Laptop Lenovo ThinkBook 14 G9 IRL i5 13420H (21UY008TVN),28990000,27290000,,,,Lenovo,Business& Productivity,ThinkBook,Core i5,Core i5 13420H,16 GB,SSD 512 GB,14 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g9-irl-i5-13420h,21UY008TVN,No,
26/07/2026,17:48,FPT Retail,Laptop MSI Modern 14 F1MG-432VN Core 5-120U,22390000,18990000,,,,MSI,Business& Productivity,Modern,Core 5,Core 5 120U,16 GB (1 thanh 16 GB),SSD 512 GB,14 inch,,,,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-f1mg-432vn-core-5-120u,432VN,No,
26/07/2026,17:48,FPT Retail,Laptop Lenovo ThinkBook 16 G9 IRL i5 13420H,29290000,27590000,,,,Lenovo,Business& Productivity,ThinkBook,Core i5,Core i5 13420H,16 GB (1 thanh 16 GB),SSD 512 GB,16 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-16-g9-irl-i5-13420h-21us008fvn,G9 IRL,No,
26/07/2026,17:48,FPT Retail,Laptop Lenovo IdeaPad 5 2-in-1 14IPH11 U5-322 (83UG0026VN),32490000,30590000,,,,Lenovo,Business& Productivity,IdeaPad 5 2-in-1,Core Ultra 5,Core Ultra 5 322,16 GB (2 thanh 8 GB) DDR5,SSD 512 GB,"14 inch, 1920 x 1200 Pixels, 60 HzHz, 45% NTSC",Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-5-2-in-1-14iph11-u5-322-83ug0026vn,83UG0026VN,No,
26/07/2026,17:48,FPT Retail,Laptop HP OmniBook 7 Aero 13-bg1083AU Ryzen Al 7 350 (BZ7R9PA),37190000,35190000,,,,HP,Business& Productivity,OmniBook,Ryzen 7 AI,Ryzen AI 7 350,32 GB LPDDR5,SSD 512 GB,"13.3 inch, 1920 x 1200 Pixels, 0 Hãng không công bốHz",AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-omnibook-7-aero-13-bg1083au-ryzen-al-7-350-bz7r9pa,BZ7R9PA,No,
26/07/2026,17:48,FPT Retail,Laptop Dell 16 DC16251 Core 7 150U (DC6C7557W1),36990000,34990000,,,,Dell,Business& Productivity,Dell 16,Core 7,Core 7 150U,16 GB,1GB SSD,16 inch,Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/dell-16-dc16251-core7-150u-dc6c7557w1,DC6C7557W1,No,
26/07/2026,17:48,FPT Retail,Laptop HP OmniBook X Flip 14-fk0082AU AMD Ryzen Al 7 350 (BZ7N8PA),40890000,36990000,,,,HP,Business& Productivity,OmniBook,Ryzen 7 AI,Ryzen AI 7 350,32 GB (2 thanh 16 GB) LPDDR5X,SSD 1,"14 inch, 1920 x 1200 Pixels, 60 HzHz, 62.5% SRGB",AMD Radeon 860M Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-omnibook-x-flip-14-fk0082au-amd-ryzen-al-7-350-bz7n8pa,BZ7N8PA,No,
26/07/2026,17:48,FPT Retail,Laptop Colorful RimBook L1 i3-1220P (CA30016512C-G-E1AC),15990000,14990000,,,,Other,Business& Productivity,Rimbook L1,Core i3,Core i3 1220P,16 GB (1 thanh 16 GB) DDR4,SSD 512,"15.6 inch, 1920 x 1080 Pixels, 60 HzHz, 45% NTSC",,,,https://fptshop.com.vn/may-tinh-xach-tay/colorful-rimbook-l1-i3-1220p-ca30016512c-g-e1ac,,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Gaming Nitro ProPanel ANV15-52-72BM i7 13620H,37990000,33990000,,,,Acer,Gaming,Nitro ProPanel,Core i7,Core i7 13620H,16 GB (1 thanh 16 GB),SSD 512 GB,15.6 inch,RTX 5050,8G,,https://fptshop.com.vn/may-tinh-xach-tay/acer-gaming-nitro-v-15-propanel-anv15-52-72bm-i7-13620h,ANV15-52-72BM,No,
26/07/2026,17:48,FPT Retail,Laptop HP EliteBook 8 G1i 14 Ultra 7 258V (D8CK0AT),38990000,36190000,,,,HP,Business& Productivity,EliteBook 8,Core Ultra 7,Core Ultra 7 258V,32 GB LPDDR5X,SSD 512 GB,"14 inch, 1920 x 1200 Pixels, 60 HzHz",Intel Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-elitebook-8-g1i-14-ultra-7-258v-d8ck0at,D8CK0AT,No,
26/07/2026,17:48,FPT Retail,Laptop HP 14-em0086AU R5-7520U (835T9PA),23990000,18890000,,,,HP,Business& Productivity,HP 14,Ryzen 5,Ryzen 5 7520U,16 GB LPDDR5,SSD 512 GB,"14 inch, 1920 x 1080 Pixels, 60 HzHz, 45% NTSC",AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-14-em0086au-r5-7520u,835T9PA,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook A1407QA-LY114W Qualcomm X1-26-100,22990000,18390000,,,,Asus,Business& Productivity,Vivobook,Snapdragon X,Snapdragon X Series X1,16 GB,SSD 512 GB,14 inch,Qualcomm Adreno GPU,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a1407qa-ly114w-qualcomm-x1-26-100,A1407QA-LY114W,No,
26/07/2026,17:48,FPT Retail,Laptop Acer Aspire Lite 14 AL14-52P-309T i3-1305U,15490000,14990000,,,,Acer,Business& Productivity,Aspire Lite,Core i3,Core i3 1305U,8 GB (1 thanh 8 GB),SSD 512 GB,14 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-lite-14-al14-52p-309t-i3-1305u,AL14-52P-309T,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook X1407CA-LY008W Ultra 5 225H,25990000,21390000,,,,Asus,Business& Productivity,Vivobook,Core Ultra 5,Core Ultra 5 225H,16 GB,SSD 512 GB,14 inch,Intel Arc Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1407ca-ly008w-ultra-5-225h,X1407CA-LY008W,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook S3407VA-LY146W Core 5-210H,22990000,19990000,,,,Asus,Business& Productivity,Vivobook,Core 5,Core 5 210H,16 GB (2 thanh 8 GB),SSD 512 GB,14 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s3407va-ly146w-core-5-210h,S3407VA-LY146W,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook M1407GA-LY270W Ryzen AI 7 445,26990000,23690000,,,,Asus,Business& Productivity,Vivobook,Ryzen 7 AI,Ryzen AI 7 445,16 GB DDR5,SSD 512 GB,"14 inch, 1920 x 1200 Pixels, 60 HzHz",AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m1407ga-ly270w-ryzen-ai-7-445,M1407GA-LY270W,No,
26/07/2026,17:48,FPT Retail,Laptop Colorful Rimbook S1 i5 12450H (A10208000034),19990000,17490000,,,,Other,Business& Productivity,Rimbook S1,Core i5,Core i5 12450H,16 GB (1 thanh 16 GB) LPDDR4,SSD 512,"14 inch, 1920 x 1200 Pixels, 60Hz, 45% NTSC",,,,https://fptshop.com.vn/may-tinh-xach-tay/colorful-rimbook-s1-i5-12450h-a10208000034,A10208000034,No,
26/07/2026,17:48,FPT Retail,MacBook Pro 16 M5 Pro 2026 18CPU/20GPU/24GB/1TB/140W,81990000,77990000,,,,MacBook,Business& Productivity,MacBook Pro,,M5 Pro Đang cập,24 GB (1 thanh 24 GB) Hãng không công bố,SSD 1,"16.2 inch, 3456 x 2234 Pixels, 120 HzHz",,,,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-16-m5-pro-2026-18cpu-20gpu-24gb-1tb,,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook S3607VA-RP056W i7-13620H,25990000,23590000,,,,Asus,Business& Productivity,Vivobook,Core i7,Core i7 13620H,16 GB (2 thanh 8 GB) DDR5,SSD 512 GB,"16 inch, 1920 x 1200 Pixels, 144 HzHz, 45% NTSC color gamut",Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s3607va-rp056w-i7-13620h,S3607VA-RP056W,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook S16 M3607HA-SH186W Ryzen 7 260,27690000,24990000,,,,Asus,Business& Productivity,Vivobook,Ryzen 7,Ryzen 7 260,16 GB DDR5,SSD 512 GB,"16 inch, 1920 x 1200 Pixels, 60Hz",AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s16-m3607ha-sh186w-ryzen-7-260,M3607HA-SH186W,No,
26/07/2026,17:48,FPT Retail,Laptop Dell 15 DC15250 i7-1355U 512GB (i7U161W11SLU),25990000,23490000,,,,Dell,Business& Productivity,Dell 15,Core i7,Core i7 1355U,16 GB,SSD 512 GB,15.6 inch,Intel UHD Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/dell-15-dc15250-i7-1355u-i7u161w11slu-512gb,512GB,No,
26/07/2026,17:48,FPT Retail,Laptop HP 14-ep1176TU Ultra 5 125H (C89ZQPA),24490000,22490000,,,,HP,Business& Productivity,HP 14,Core Ultra 5,Core Ultra 5 125H,16 GB (2 thanh 8 GB),SSD 512 GB,14 inch,Intel Arc Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/hp-14-ep1176tu-ultra-5-125h-c89zqpa,C89ZQPA,No,
26/07/2026,17:48,FPT Retail,Laptop Lenovo Gaming LOQ 15ARP10E AMD Ryzen 7 7735HS (83S0004FVN),38990000,34490000,,,,Lenovo,Gaming,LOQ,Ryzen 7,Ryzen 7 7735HS,16 GB (1 thanh 16 GB) DDR5,SSD 512,"15.6 inch, 1920 x 1080 Pixels, 144 HzHz, 100% sRGB",RTX 4050,6G,,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-loq-15arp10e-amd-ryzen-7-7735hs-83s0004fvn,83S0004FVN,No,
26/07/2026,17:48,FPT Retail,Laptop Asus Vivobook S14 M3407HA-SF490W R7-260,27690000,24890000,,,,Asus,Business& Productivity,Vivobook,Ryzen 7,Ryzen 7 260,16 GB,SSD 512 GB,14 inch,AMD Radeon Graphics,,,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s14-m3407ha-sf490w-r7-260,M3407HA-SF490W,No,
